cust_id,lookalikes
C0001,"[{'cust_id': 'C0120', 'score': 0.9999999483213668}, {'cust_id': 'C0068', 'score': 0.9999999151253842}, {'cust_id': 'C0102', 'score': 0.9999999091775381}]"
C0002,"[{'cust_id': 'C0134', 'score': 0.9999997517115803}, {'cust_id': 'C0034', 'score': 0.999999748270765}, {'cust_id': 'C0088', 'score': 0.9999997415653932}]"
C0003,"[{'cust_id': 'C0136', 'score': 0.9999998622632613}, {'cust_id': 'C0031', 'score': 0.9999998325155759}, {'cust_id': 'C0113', 'score': 0.9999998149443283}]"
C0004,"[{'cust_id': 'C0169', 'score': 0.9999999775304766}, {'cust_id': 'C0175', 'score': 0.999999956609213}, {'cust_id': 'C0039', 'score': 0.9999999492167607}]"
C0005,"[{'cust_id': 'C0146', 'score': 0.9999999319874456}, {'cust_id': 'C0007', 'score': 0.999999882727417}, {'cust_id': 'C0186', 'score': 0.9999998264120411}]"
C0006,"[{'cust_id': 'C0171', 'score': 0.9999999949479038}, {'cust_id': 'C0082', 'score': 0.9999999691163179}, {'cust_id': 'C0188', 'score': 0.9999999502496908}]"
C0007,"[{'cust_id': 'C0146', 'score': 0.9999999226903571}, {'cust_id': 'C0054', 'score': 0.9999999098700725}, {'cust_id': 'C0005', 'score': 0.999999882727417}]"
C0008,"[{'cust_id': 'C0047', 'score': 0.9999998888852705}, {'cust_id': 'C0098', 'score': 0.9999998696096729}, {'cust_id': 'C0038', 'score': 0.9999998531495534}]"
C0009,"[{'cust_id': 'C0198', 'score': 0.9999992701461256}, {'cust_id': 'C0103', 'score': 0.9999985041199906}, {'cust_id': 'C0172', 'score': 0.9999981485032108}]"
C0010,"[{'cust_id': 'C0111', 'score': 0.9999993430995275}, {'cust_id': 'C0134', 'score': 0.9999991169766563}, {'cust_id': 'C0091', 'score': 0.9999991015368845}]"
C0011,"[{'cust_id': 'C0153', 'score': 0.9999999890640718}, {'cust_id': 'C0137', 'score': 0.9999999691826957}, {'cust_id': 'C0173', 'score': 0.9999999430872306}]"
C0012,"[{'cust_id': 'C0065', 'score': 0.9999999529789653}, {'cust_id': 'C0153', 'score': 0.9999999512072401}, {'cust_id': 'C0102', 'score': 0.999999946485301}]"
C0013,"[{'cust_id': 'C0099', 'score': 0.9999999912817268}, {'cust_id': 'C0188', 'score': 0.9999999581981357}, {'cust_id': 'C0104', 'score': 0.9999999547631416}]"
C0014,"[{'cust_id': 'C0172', 'score': 0.999991207827861}, {'cust_id': 'C0010', 'score': 0.9999910609862486}, {'cust_id': 'C0025', 'score': 0.9999907633928223}]"
C0015,"[{'cust_id': 'C0131', 'score': 0.9999998502617976}, {'cust_id': 'C0125', 'score': 0.9999996438967732}, {'cust_id': 'C0194', 'score': 0.9999996168683248}]"
C0016,"[{'cust_id': 'C0042', 'score': 0.9999999706241736}, {'cust_id': 'C0141', 'score': 0.9999998849282801}, {'cust_id': 'C0023', 'score': 0.9999998788628311}]"
C0017,"[{'cust_id': 'C0124', 'score': 0.9999999485099622}, {'cust_id': 'C0004', 'score': 0.9999999348356964}, {'cust_id': 'C0175', 'score': 0.9999999343599253}]"
C0018,"[{'cust_id': 'C0041', 'score': 0.9999999592470505}, {'cust_id': 'C0156', 'score': 0.9999999543154434}, {'cust_id': 'C0101', 'score': 0.9999999252818481}]"
C0019,"[{'cust_id': 'C0147', 'score': 0.9999997431900951}, {'cust_id': 'C0172', 'score': 0.9999996717238575}, {'cust_id': 'C0047', 'score': 0.9999996549482512}]"
C0020,"[{'cust_id': 'C0026', 'score': 0.9999993470201587}, {'cust_id': 'C0035', 'score': 0.9999992192895217}, {'cust_id': 'C0050', 'score': 0.9999992110492634}]"
